Injection #,Area,Inject Time,Corrected Time,Corrected Area,Rate (mole / sec)
1,0.0652907,18:34:13 18/12/11,-3347.0,0.00149946799999999,5.5201105423431783e-11
2,0.0636279,18:37:04 18/12/11,-3176.0,-0.00016333200000000214,-6.012870532095475e-12
3,0.0638807,18:39:56 18/12/11,-3004.0,8.946799999999533e-05,3.293656483515067e-12
4,0.063199,18:43:04 18/12/11,-2816.0,-0.0005922319999999981,-2.1802306596159415e-11
5,0.063557,18:45:55 18/12/11,-2645.0,-0.00023423200000000088,-8.622968496521038e-12
6,0.0637615,18:48:46 18/12/11,-2474.0,-2.9732000000004533e-05,-1.0945477105545e-12
7,0.0633717,18:51:38 18/12/11,-2302.0,-0.00041953200000000024,-1.5444564445859034e-11
8,0.0633207,18:54:31 18/12/11,-2129.0,-0.0004705320000000096,-1.7322067918154246e-11
9,0.0631128,18:57:24 18/12/11,-1956.0,-0.0006784320000000066,-2.4975655602273797e-11
10,0.0627932,19:00:15 18/12/11,-1785.0,-0.0009980320000000098,-3.674134402865508e-11
11,0.0642367,19:03:23 18/12/11,-1597.0,0.00044546799999999054,1.6399366996004552e-11
12,0.0648263,19:06:25 18/12/11,-1415.0,0.001035068,3.810477968747654e-11
13,0.0642752,19:09:47 18/12/11,-1213.0,0.0004839680000000013,1.78166980486197e-11
14,0.063514,19:13:07 18/12/11,-1013.0,-0.00027723200000000225,-1.0205961620220683e-11
15,0.0633822,19:16:16 18/12/11,-824.0,-0.0004090320000000036,-1.505801961332786e-11
16,0.0634548,19:19:08 18/12/11,-652.0,-0.0003364319999999976,-1.2385338199825535e-11
17,0.063496,19:22:14 18/12/11,-466.0,-0.0002952320000000064,-1.08686099045602e-11
18,0.0648477,19:25:24 18/12/11,-276.0,0.001056467999999991,3.8892594869968564e-11
19,0.0640853,19:28:34 18/12/11,-86.0,0.00029406799999999456,1.0825758648839153e-11
20,0.063546,19:31:27 18/12/11,87.0,-0.000245231999999998,-9.027920225839434e-12
21,0.0639042,19:34:20 18/12/11,260.0,0.00011296799999999108,4.158780632513525e-12
22,0.064039,19:37:11 18/12/11,431.0,0.00024776799999999544,9.121280006344041e-12
23,0.063997,19:40:03 18/12/11,603.0,0.00020576799999999507,7.575100676218842e-12
24,0.0628552,19:43:06 18/12/11,786.0,-0.0009360320000000033,-3.445888882704148e-11
25,0.0655693,19:45:57 18/12/11,957.0,0.0017780679999999938,6.545742831326232e-11
26,0.065414,19:49:01 18/12/11,1141.0,0.0016227679999999967,5.974024617115668e-11
27,0.0674085,19:51:54 18/12/11,1314.0,0.003617267999999993,1.3316535745531562e-10
28,0.0677982,19:54:46 18/12/11,1486.0,0.004006968,1.475116928112631e-10
29,0.0693607,19:57:37 18/12/11,1657.0,0.005569467999999994,2.050332452712772e-10
30,0.0705567,20:00:29 18/12/11,1829.0,0.006765467999999997,2.4906254238627065e-10
31,0.0718648,20:03:22 18/12/11,2002.0,0.008073568000000003,2.972186657609555e-10
32,0.0729155,20:06:14 18/12/11,2174.0,0.009124267999999991,3.358989186695868e-10
33,0.0749192,20:09:06 18/12/11,2346.0,0.011127968000000002,4.0966271685463086e-10
34,0.0750643,20:11:59 18/12/11,2519.0,0.011273067999999997,4.150043983022774e-10
35,0.0762668,20:15:07 18/12/11,2707.0,0.012475567999999992,4.592729850755043e-10
