Dec. 11, 2018   21:01:33
Linear Sweep Voltammetry
File: r:\group-shared\andy\760_data\181211\181211_lsv_afterbulke.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.39
Final E (V) = 2
Scan Rate (V/s) = 0.02
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.001


Potential/V, Current/A

0.390, 2.200e-5
0.391, 2.775e-5
0.392, 3.200e-5
0.393, 4.240e-5
0.394, 4.906e-5
0.395, 5.156e-5
0.396, 6.024e-5
0.397, 6.880e-5
0.398, 7.093e-5
0.399, 7.676e-5
0.400, 8.672e-5
0.401, 9.035e-5
0.402, 9.392e-5
0.403, 1.035e-4
0.404, 1.099e-4
0.405, 1.114e-4
0.406, 1.196e-4
0.407, 1.286e-4
0.408, 1.312e-4
0.409, 1.371e-4
0.410, 1.474e-4
0.411, 1.512e-4
0.412, 1.539e-4
0.413, 1.631e-4
0.414, 1.698e-4
0.415, 1.720e-4
0.416, 1.797e-4
0.417, 1.884e-4
0.418, 1.904e-4
0.419, 1.953e-4
0.420, 2.054e-4
0.421, 2.101e-4
0.422, 2.127e-4
0.423, 2.218e-4
0.424, 2.287e-4
0.425, 2.306e-4
0.426, 2.376e-4
0.427, 2.467e-4
0.428, 2.490e-4
0.429, 2.539e-4
0.430, 2.642e-4
0.431, 2.689e-4
0.432, 2.721e-4
0.433, 2.818e-4
0.434, 2.891e-4
0.435, 2.907e-4
0.436, 2.973e-4
0.437, 3.063e-4
0.438, 3.098e-4
0.439, 3.142e-4
0.440, 3.238e-4
0.441, 3.287e-4
0.442, 3.314e-4
0.443, 3.396e-4
0.444, 3.466e-4
0.445, 3.489e-4
0.446, 3.558e-4
0.447, 3.652e-4
0.448, 3.672e-4
0.449, 3.709e-4
0.450, 3.804e-4
0.451, 3.860e-4
0.452, 3.884e-4
0.453, 3.965e-4
0.454, 4.042e-4
0.455, 4.058e-4
0.456, 4.125e-4
0.457, 4.219e-4
0.458, 4.250e-4
0.459, 4.281e-4
0.460, 4.374e-4
0.461, 4.429e-4
0.462, 4.453e-4
0.463, 4.531e-4
0.464, 4.607e-4
0.465, 4.624e-4
0.466, 4.676e-4
0.467, 4.773e-4
0.468, 4.808e-4
0.469, 4.842e-4
0.470, 4.928e-4
0.471, 4.988e-4
0.472, 5.010e-4
0.473, 5.086e-4
0.474, 5.161e-4
0.475, 5.184e-4
0.476, 5.232e-4
0.477, 5.320e-4
0.478, 5.349e-4
0.479, 5.380e-4
0.480, 5.469e-4
0.481, 5.531e-4
0.482, 5.558e-4
0.483, 5.632e-4
0.484, 5.715e-4
0.485, 5.732e-4
0.486, 5.773e-4
0.487, 5.854e-4
0.488, 5.886e-4
0.489, 5.913e-4
0.490, 5.998e-4
0.491, 6.061e-4
0.492, 6.082e-4
0.493, 6.149e-4
0.494, 6.223e-4
0.495, 6.234e-4
0.496, 6.282e-4
0.497, 6.373e-4
0.498, 6.416e-4
0.499, 6.452e-4
0.500, 6.527e-4
0.501, 6.586e-4
0.502, 6.609e-4
0.503, 6.675e-4
0.504, 6.747e-4
0.505, 6.760e-4
0.506, 6.800e-4
0.507, 6.882e-4
0.508, 6.919e-4
0.509, 6.949e-4
0.510, 7.035e-4
0.511, 7.086e-4
0.512, 7.099e-4
0.513, 7.157e-4
0.514, 7.230e-4
0.515, 7.248e-4
0.516, 7.290e-4
0.517, 7.370e-4
0.518, 7.407e-4
0.519, 7.416e-4
0.520, 7.491e-4
0.521, 7.547e-4
0.522, 7.563e-4
0.523, 7.621e-4
0.524, 7.692e-4
0.525, 7.703e-4
0.526, 7.728e-4
0.527, 7.803e-4
0.528, 7.845e-4
0.529, 7.878e-4
0.530, 7.953e-4
0.531, 8.013e-4
0.532, 8.023e-4
0.533, 8.068e-4
0.534, 8.132e-4
0.535, 8.145e-4
0.536, 8.175e-4
0.537, 8.255e-4
0.538, 8.301e-4
0.539, 8.311e-4
0.540, 8.378e-4
0.541, 8.428e-4
0.542, 8.434e-4
0.543, 8.480e-4
0.544, 8.570e-4
0.545, 8.603e-4
0.546, 8.632e-4
0.547, 8.686e-4
0.548, 8.711e-4
0.549, 8.721e-4
0.550, 8.793e-4
0.551, 8.854e-4
0.552, 8.869e-4
0.553, 8.911e-4
0.554, 8.973e-4
0.555, 8.986e-4
0.556, 9.000e-4
0.557, 9.065e-4
0.558, 9.109e-4
0.559, 9.137e-4
0.560, 9.181e-4
0.561, 9.222e-4
0.562, 9.230e-4
0.563, 9.269e-4
0.564, 9.329e-4
0.565, 9.342e-4
0.566, 9.364e-4
0.567, 9.429e-4
0.568, 9.464e-4
0.569, 9.472e-4
0.570, 9.524e-4
0.571, 9.576e-4
0.572, 9.587e-4
0.573, 9.628e-4
0.574, 9.691e-4
0.575, 9.697e-4
0.576, 9.709e-4
0.577, 9.763e-4
0.578, 9.794e-4
0.579, 9.805e-4
0.580, 9.856e-4
0.581, 9.908e-4
0.582, 9.912e-4
0.583, 9.948e-4
0.584, 1.001e-3
0.585, 1.003e-3
0.586, 1.006e-3
0.587, 1.013e-3
0.588, 1.015e-3
0.589, 1.014e-3
0.590, 1.016e-3
0.591, 1.022e-3
0.592, 1.022e-3
0.593, 1.024e-3
0.594, 1.029e-3
0.595, 1.030e-3
0.596, 1.031e-3
0.597, 1.036e-3
0.598, 1.041e-3
0.599, 1.042e-3
0.600, 1.045e-3
0.601, 1.049e-3
0.602, 1.049e-3
0.603, 1.052e-3
0.604, 1.057e-3
0.605, 1.060e-3
0.606, 1.061e-3
0.607, 1.066e-3
0.608, 1.068e-3
0.609, 1.070e-3
0.610, 1.073e-3
0.611, 1.077e-3
0.612, 1.076e-3
0.613, 1.079e-3
0.614, 1.085e-3
0.615, 1.087e-3
0.616, 1.088e-3
0.617, 1.092e-3
0.618, 1.096e-3
0.619, 1.095e-3
0.620, 1.101e-3
0.621, 1.106e-3
0.622, 1.107e-3
0.623, 1.106e-3
0.624, 1.109e-3
0.625, 1.110e-3
0.626, 1.111e-3
0.627, 1.115e-3
0.628, 1.118e-3
0.629, 1.118e-3
0.630, 1.121e-3
0.631, 1.126e-3
0.632, 1.126e-3
0.633, 1.127e-3
0.634, 1.131e-3
0.635, 1.132e-3
0.636, 1.132e-3
0.637, 1.135e-3
0.638, 1.138e-3
0.639, 1.138e-3
0.640, 1.141e-3
0.641, 1.146e-3
0.642, 1.146e-3
0.643, 1.146e-3
0.644, 1.150e-3
0.645, 1.152e-3
0.646, 1.151e-3
0.647, 1.155e-3
0.648, 1.157e-3
0.649, 1.157e-3
0.650, 1.159e-3
0.651, 1.163e-3
0.652, 1.164e-3
0.653, 1.166e-3
0.654, 1.169e-3
0.655, 1.170e-3
0.656, 1.168e-3
0.657, 1.171e-3
0.658, 1.173e-3
0.659, 1.174e-3
0.660, 1.178e-3
0.661, 1.182e-3
0.662, 1.181e-3
0.663, 1.182e-3
0.664, 1.184e-3
0.665, 1.185e-3
0.666, 1.184e-3
0.667, 1.188e-3
0.668, 1.192e-3
0.669, 1.191e-3
0.670, 1.193e-3
0.671, 1.195e-3
0.672, 1.194e-3
0.673, 1.194e-3
0.674, 1.198e-3
0.675, 1.198e-3
0.676, 1.198e-3
0.677, 1.200e-3
0.678, 1.204e-3
0.679, 1.204e-3
0.680, 1.206e-3
0.681, 1.208e-3
0.682, 1.208e-3
0.683, 1.211e-3
0.684, 1.215e-3
0.685, 1.217e-3
0.686, 1.217e-3
0.687, 1.219e-3
0.688, 1.221e-3
0.689, 1.221e-3
0.690, 1.222e-3
0.691, 1.224e-3
0.692, 1.221e-3
0.693, 1.221e-3
0.694, 1.226e-3
0.695, 1.229e-3
0.696, 1.230e-3
0.697, 1.230e-3
0.698, 1.229e-3
0.699, 1.227e-3
0.700, 1.229e-3
0.701, 1.232e-3
0.702, 1.234e-3
0.703, 1.234e-3
0.704, 1.236e-3
0.705, 1.237e-3
0.706, 1.237e-3
0.707, 1.239e-3
0.708, 1.241e-3
0.709, 1.243e-3
0.710, 1.242e-3
0.711, 1.244e-3
0.712, 1.243e-3
0.713, 1.246e-3
0.714, 1.248e-3
0.715, 1.247e-3
0.716, 1.244e-3
0.717, 1.244e-3
0.718, 1.246e-3
0.719, 1.247e-3
0.720, 1.250e-3
0.721, 1.254e-3
0.722, 1.256e-3
0.723, 1.256e-3
0.724, 1.257e-3
0.725, 1.258e-3
0.726, 1.259e-3
0.727, 1.258e-3
0.728, 1.260e-3
0.729, 1.260e-3
0.730, 1.262e-3
0.731, 1.261e-3
0.732, 1.261e-3
0.733, 1.261e-3
0.734, 1.263e-3
0.735, 1.267e-3
0.736, 1.266e-3
0.737, 1.269e-3
0.738, 1.269e-3
0.739, 1.269e-3
0.740, 1.270e-3
0.741, 1.272e-3
0.742, 1.273e-3
0.743, 1.273e-3
0.744, 1.272e-3
0.745, 1.271e-3
0.746, 1.268e-3
0.747, 1.270e-3
0.748, 1.275e-3
0.749, 1.277e-3
0.750, 1.277e-3
0.751, 1.277e-3
0.752, 1.278e-3
0.753, 1.277e-3
0.754, 1.277e-3
0.755, 1.277e-3
0.756, 1.278e-3
0.757, 1.280e-3
0.758, 1.283e-3
0.759, 1.281e-3
0.760, 1.278e-3
0.761, 1.281e-3
0.762, 1.282e-3
0.763, 1.285e-3
0.764, 1.288e-3
0.765, 1.289e-3
0.766, 1.284e-3
0.767, 1.283e-3
0.768, 1.284e-3
0.769, 1.286e-3
0.770, 1.288e-3
0.771, 1.289e-3
0.772, 1.288e-3
0.773, 1.287e-3
0.774, 1.288e-3
0.775, 1.288e-3
0.776, 1.290e-3
0.777, 1.289e-3
0.778, 1.293e-3
0.779, 1.293e-3
0.780, 1.296e-3
0.781, 1.295e-3
0.782, 1.294e-3
0.783, 1.291e-3
0.784, 1.290e-3
0.785, 1.288e-3
0.786, 1.292e-3
0.787, 1.294e-3
0.788, 1.298e-3
0.789, 1.298e-3
0.790, 1.297e-3
0.791, 1.299e-3
0.792, 1.299e-3
0.793, 1.300e-3
0.794, 1.301e-3
0.795, 1.303e-3
0.796, 1.301e-3
0.797, 1.303e-3
0.798, 1.303e-3
0.799, 1.305e-3
0.800, 1.305e-3
0.801, 1.307e-3
0.802, 1.305e-3
0.803, 1.305e-3
0.804, 1.307e-3
0.805, 1.307e-3
0.806, 1.307e-3
0.807, 1.308e-3
0.808, 1.309e-3
0.809, 1.309e-3
0.810, 1.311e-3
0.811, 1.311e-3
0.812, 1.309e-3
0.813, 1.306e-3
0.814, 1.308e-3
0.815, 1.310e-3
0.816, 1.308e-3
0.817, 1.312e-3
0.818, 1.311e-3
0.819, 1.312e-3
0.820, 1.314e-3
0.821, 1.317e-3
0.822, 1.315e-3
0.823, 1.314e-3
0.824, 1.313e-3
0.825, 1.317e-3
0.826, 1.313e-3
0.827, 1.316e-3
0.828, 1.319e-3
0.829, 1.318e-3
0.830, 1.321e-3
