Injection #,Area,Inject Time,Corrected Time,Corrected Area,Rate (mole / sec)
47,0.0524242,00:00:20 18/04/28,-8830.0,0.0007921999999999998,2.9163887269646934e-09
48,0.0528364,00:03:10 18/04/28,-8660.0,0.0012044000000000013,4.4338532981018444e-09
49,0.0517867,00:05:58 18/04/28,-8492.0,0.00015470000000000067,5.695093865961122e-10
50,0.0516614,00:08:49 18/04/28,-8321.0,2.940000000000581e-05,1.0823255310878434e-10
51,0.0527195,00:11:41 18/04/28,-8149.0,0.0010875000000000051,4.003500051217015e-09
52,0.0516235,00:14:47 18/04/28,-7963.0,-8.499999999994623e-06,-3.1291724538227997e-11
53,0.0518388,00:17:37 18/04/28,-7793.0,0.00020680000000000004,7.613092511187816e-10
54,0.0524102,00:20:28 18/04/28,-7622.0,0.0007781999999999997,2.8648494159605197e-09
55,0.0521635,00:23:19 18/04/28,-7451.0,0.0005315000000000042,1.9566531284798624e-09
56,0.0523278,00:26:07 18/04/28,-7283.0,0.0006958000000000034,2.561503756907402e-09
57,0.0519117,00:28:56 18/04/28,-7114.0,0.0002797000000000008,1.0296818062762272e-09
58,0.0511853,00:31:46 18/04/28,-6944.0,-0.0004466999999999943,-1.6444721589688364e-09
59,0.0527501,00:34:37 18/04/28,-6773.0,0.0011181000000000038,4.116150259554703e-09
60,0.051584,00:37:42 18/04/28,-6588.0,-4.799999999999943e-05,-1.767062091571619e-10
61,0.0517111,00:40:48 18/04/28,-6402.0,7.910000000000555e-05,2.9119710717359694e-10
62,0.0524292,00:43:38 18/04/28,-6232.0,0.0007972000000000048,2.9347956237519165e-09
63,0.0514493,00:46:29 18/04/28,-6061.0,-0.00018269999999999398,-6.725880086044333e-10
64,0.0510755,00:49:20 18/04/28,-5890.0,-0.0005564999999999945,-2.04868761241585e-09
65,0.0517833,00:52:11 18/04/28,-5719.0,0.00015130000000000005,5.569926967808108e-10
66,0.0516037,00:55:03 18/04/28,-5547.0,-2.8299999999994996e-05,-1.0418303581555951e-10
67,0.0507758,00:57:54 18/04/28,-5376.0,-0.0008561999999999945,-3.151997005840892e-09
68,0.0523122,01:00:41 18/04/28,-5209.0,0.0006802000000000058,2.5040742389313326e-09
69,0.0519325,01:03:29 18/04/28,-5041.0,0.00030050000000000215,1.1062544969110032e-09
70,0.0516493,01:06:18 18/04/28,-4872.0,1.730000000000481e-05,6.368786288374556e-11
71,0.0519992,01:09:09 18/04/28,-4701.0,0.000367200000000005,1.3518025000523229e-09
72,0.0517191,01:12:16 18/04/28,-4514.0,8.709999999999968e-05,3.2064814203310263e-10
73,0.051734,01:15:04 18/04/28,-4346.0,0.00010200000000000486,3.755006944589914e-10
74,0.050927,01:17:56 18/04/28,-4174.0,-0.0007049999999999973,-2.595372446995836e-09
75,0.0513016,01:20:47 18/04/28,-4003.0,-0.0003303999999999946,-1.2163277396984587e-09
76,0.0506308,01:23:37 18/04/28,-3833.0,-0.0010012000000000007,-3.685797012669848e-09
77,0.0522047,01:26:25 18/04/28,-3665.0,0.0005727000000000024,2.1083259580064216e-09
78,0.0516657,01:29:16 18/04/28,-3494.0,3.370000000000456e-05,1.2406248434577566e-10
79,0.0512415,01:32:05 18/04/28,-3325.0,-0.000390499999999995,-1.4375786390806595e-09
80,0.0511522,01:34:53 18/04/28,-3157.0,-0.0004797999999999955,-1.766325815700135e-09
81,0.0519367,01:37:41 18/04/28,-2989.0,0.00030470000000000497,1.1217162902122654e-09
82,0.0519505,01:40:32 18/04/28,-2818.0,0.00031849999999999934,1.1725193253449293e-09
83,0.051205,01:43:23 18/04/28,-2647.0,-0.0004269999999999968,-1.5719489856272596e-09
84,0.0509295,01:46:15 18/04/28,-2475.0,-0.0007024999999999948,-2.5861689986022245e-09
85,0.0511915,01:49:22 18/04/28,-2288.0,-0.00044049999999999645,-1.6216476069527107e-09
